Path/Row	1985 sun elevations			1988 sun elevations			1996 sun elevations			1985 normalize values						1988 normalize values						Path/Row
2834	53.69	25	8	47.12	1	8	57.17	22	7	0.7724	0.7121	0.7568	0.8522	0.7574	0.7438	0.9895	0.8682	1.0102	0.9737	1.0070	1.0244	2834
2836	55.01	25	8	59.34	1	8	57.64	22	7	1.0502	0.9660	1.0096	1.0407	1.0014	1.0118	0.9565	0.9240	0.9550	0.9524	0.9546	0.9590	2836
2931	59.41	15	7	57.32	26	7	55.02	29	7	1.0263	1.0286	0.9988	1.1027	1.0315	1.0161	1.1810	1.3358	1.1255	1.3588	1.2566	1.1708	2931
2933	60.35	15	7	44.55	25	9	55.91	29	7	0.8491	0.8315	0.8459	0.8796	0.8616	0.8726	1.0569	1.0461	1.0384	1.0548	1.0416	1.0372	2933
2934	58.51	31	7	50.1	9	9	56.28	29	7	0.8504	0.7440	0.7947	0.7764	0.7799	0.7758	0.9109	0.8678	0.8853	0.9818	0.9496	0.9290	2934
2935	58.95	31	7	54.73	24	8	54.26	14	8	0.8709	1.0632	1.0362	1.0701	1.0816	1.0808	1.0001	1.1276	1.0827	1.1219	1.1116	1.1073	2935
2936	59.33	31	7	55.37	24	8	54.69	14	8	0.9700	0.9779	0.9734	0.9578	0.9845	1.0033	0.9341	0.9266	0.9593	0.9284	0.9591	0.9676	2936
2937	59.65	31	7	48.39	25	9	55.07	14	8	0.9272	0.9161	0.9254	0.9200	0.9284	0.9352	1.1681	1.0196	1.0464	1.0613	1.0639	1.0765	2937
3030	51.12	23	8	47.72	3	9	53.26	5	8	1.0066	1.1069	0.9489	1.0015	1.0026	1.0161	1.0517	1.2073	0.9562	1.0270	1.0361	1.0334	3030
3031	51.92	23	8	53.93	15	8	58.05	4	7	1.0641	1.0018	0.9411	0.9863	1.0052	1.0461	1.2884	1.0781	0.9893	1.0822	1.1322	1.2417	3031
3034	57.33	7	8	55.96	15	8	55.27	5	8	1.0120	0.9844	1.0545	0.9734	1.0291	1.0524	1.0803	1.0690	1.0937	0.9285	1.0719	1.1158	3034
3036	63.18	20	6	57.04	31	7	53.55	21	8	0.7974	0.8221	0.8326	0.8229	0.8137	0.8171	0.9363	1.0430	0.9980	0.9990	0.9756	0.9639	3036
3038	63.38	20	6	49.18	17	9	54.43	21	8	0.9155	0.8919	0.9143	0.9028	0.8952	0.9121	1.0208	1.0293	0.9928	0.9731	0.9774	0.9865	3038
3130	39.41	1	10	40.68	26	9	48.2	28	8	1.1643	1.0957	1.1472	1.1389	1.1383	1.1453	1.1509	1.0949	1.1139	1.1246	1.1212	1.1087	3130
3131	50.11	30	8	41.7	26	9	55.33	27	7	0.9309	0.9155	0.9553	0.9450	0.9462	0.9469	1.2027	1.1954	1.1666	1.1946	1.1884	1.1861	3131
3132	50.95	30	8	42.71	26	9	55.79	27	7	1.1145	1.0440	1.1092	1.0375	1.1008	1.1364	1.0987	1.0126	1.0805	1.0016	1.0790	1.1121	3132
3134	52.52	30	8	50.63	7	9	54.13	12	8	1.1382	1.1163	1.1302	1.0883	1.1229	1.1373	1.0830	1.1032	1.1032	1.1164	1.1035	1.0980	3134
3135	53.25	30	8	45.62	26	9	54.13	12	8	1.0124	0.9619	1.0302	0.9893	1.0227	1.0395	1.1173	1.1123	1.0975	1.1053	1.1123	1.1140	3135
3136	53.95	30	8	46.54	26	9	54.99	12	8	1.0824	1.0772	1.1035	1.0808	1.1025	1.1024	1.0956	1.1625	1.0535	1.0619	1.0773	1.0540	3136
3137	54.61	30	8	47.44	26	9	55.35	12	8	1.0335	1.0057	1.0327	1.0232	1.0303	1.0330	1.2049	1.2171	1.1926	1.1975	1.2031	1.2026	3137
3138	55.22	30	8	48.33	26	9	55.66	12	8	0.9748	0.9375	0.9711	0.9651	0.9634	0.9665	1.1075	1.0966	1.1035	1.1004	1.1017	1.1030	3138
3230	51.62	21	8	55.83	31	7	50.35	19	8	1.0567	1.0223	1.0886	0.9826	1.0037	1.0267	0.9659	0.9227	0.9653	0.9624	0.9652	0.9683	3230
3231	55.94	5	8	60.31	28	5	58.2	22	7	0.8911	0.8904	0.8956	0.9116	0.9022	0.8959	0.8568	0.8490	0.8461	0.8584	0.8526	0.8531	3231
3232	53.17	21	8	45.46	17	9	58.54	2	7	1.0522	1.0206	1.0811	1.0436	1.0480	1.0737	1.1705	1.1446	1.1666	1.1749	1.1665	1.1662	3232
3233	53.89	21	8	46.4	17	9	58.82	2	7	1.0192	1.0165	1.0077	1.0167	1.0158	1.0114	1.1015	1.0886	1.0873	1.0929	1.0901	1.0817	3233
3234	61.85	4	7	47.29	17	9	52.87	19	8	0.8944	0.9107	0.8786	0.9071	0.8863	0.9032	1.0564	1.0590	1.0582	1.0593	1.0594	1.0579	3234
3238	62.55	4	7	50.65	17	9	54.72	19	8	0.8988	0.8901	0.8916	0.9103	0.8769	0.8924	1.0601	1.0554	1.0616	1.0603	1.0617	1.0599	3238
3330	49.8	28	8	50.69	23	8	48.69	26	8	0.8777	0.8527	0.8876	0.8885	0.8782	0.8808	0.9298	0.8868	0.9265	0.9410	0.9301	0.9270	3330
3331	54.49	12	8	42.33	24	9	52.89	10	8	0.8655	0.8459	0.8711	0.8690	0.8625	0.8645	1.1289	1.1254	1.1254	1.1236	1.1223	1.1217	3331
3332	51.46	28	8	43.33	24	9	53.46	10	8	0.9062	0.8849	0.9333	0.9268	0.9091	0.9155	1.1219	1.1009	1.1383	1.1258	1.1185	1.1252	3332
3333	52.25	28	8	44.31	24	9	53.99	10	8	0.9482	0.9419	0.9496	0.9484	0.9519	0.9544	1.1056	1.0958	1.0935	1.1074	1.1031	1.1011	3333
3430	60.28	2	7	50.15	27	8	50.8	17	8	0.7440	0.7414	0.7392	0.7488	0.7366	0.7387	0.7959	0.8066	0.8129	0.8114	0.8059	0.8016	3430
3431	60.8	2	7	45.12	15	9	51.47	17	8	0.8143	0.7957	0.8330	0.8303	0.8202	0.8300	1.0035	0.9822	1.0061	1.0040	1.0033	1.0022	3431
